"","fips","state","county","ibclc_rate","bf_pct","im_rate","la_leche_count","baby_friendly_count","wic_site_count","la_leche_in_county","baby_friendly_in_county","wic_site_in_county","rucc","svi"
"1","13001","GA","Appling",0,69.8,0,0,0,0,"N","N","N",7,96.69
"2","13003","GA","Atkinson",7.63,62.9,36.8,0,0,1,"N","N","Y",9,96.15
"3","13005","GA","Bacon",3.48,61.8,0,0,0,0,"N","N","N",7,93.89
"4","13007","GA","Baker",0,43.5,0,1,0,1,"Y","N","Y",3,74.24
"5","13009","GA","Baldwin",1.23,64.7,0,0,0,0,"N","N","N",4,86.66
"6","13011","GA","Banks",29.78,86.7,0,0,0,2,"N","N","Y",8,55.86
"7","13013","GA","Barrow",10.45,90.8,8.5,0,1,1,"N","Y","Y",1,42.04
"8","13015","GA","Bartow",7.23,62.2,14.6,3,2,3,"Y","Y","Y",1,59.14
"9","13017","GA","Ben Hill",2.29,56.4,0,0,3,1,"N","Y","Y",7,87.26
"10","13019","GA","Berrien",4.3,68.1,0,1,1,0,"Y","Y","N",6,85
"11","13021","GA","Bibb",0.77,63.4,18.1,0,0,1,"N","N","Y",3,91.75
"12","13023","GA","Bleckley",0,62.7,0,0,0,0,"N","N","N",6,73.95
"13","13025","GA","Brantley",6.76,66.4,0,0,1,0,"N","Y","N",3,62.29
"14","13027","GA","Brooks",2.9,56.9,0,2,0,0,"Y","N","N",3,83.98
"15","13029","GA","Bryan",7.48,88.3,0,1,2,0,"Y","Y","N",2,33.89
"16","13031","GA","Bulloch",1.11,76.4,13.4,1,0,1,"Y","N","Y",4,81.21
"17","13033","GA","Burke",4.96,68.6,0,1,1,2,"Y","Y","Y",2,84.55
"18","13035","GA","Butts",11.05,76.9,0,1,1,5,"Y","Y","Y",1,76.53
"19","13037","GA","Calhoun",30.61,28.3,0,1,1,2,"Y","Y","Y",8,97.74
"20","13039","GA","Camden",2.71,73,0,2,1,0,"Y","Y","N",4,51.59
"21","13043","GA","Candler",3.76,72.1,0,0,0,0,"N","N","N",7,98.28
"22","13045","GA","Carroll",2.33,79.8,13.4,2,1,5,"Y","Y","Y",1,78.25
"23","13047","GA","Catoosa",2.35,82.5,0,3,0,4,"Y","N","Y",2,13.18
"24","13049","GA","Charlton",46.73,59.1,0,1,0,0,"Y","N","N",6,87.52
"25","13051","GA","Chatham",0.98,82.1,12.8,1,2,0,"Y","Y","N",2,69.49
"26","13053","GA","Chattahoochee",4.76,91.8,0,1,1,1,"Y","Y","Y",2,63.79
"27","13055","GA","Chattooga",6.51,72.4,0,1,0,2,"Y","N","Y",6,92.52
"28","13057","GA","Cherokee",4.12,90.7,10.7,6,1,9,"Y","Y","Y",1,11.85
"29","13059","GA","Clarke",2.33,78.6,10.9,1,0,3,"Y","N","Y",3,76.75
"30","13061","GA","Clay",0,45.5,18.6,0,0,0,"N","N","N",9,93.09
"31","13063","GA","Clayton",3.6,82.3,0,6,6,9,"Y","Y","Y",1,91.02
"32","13065","GA","Clinch",0,57.9,10.9,0,0,0,"N","N","N",6,97.77
"33","13067","GA","Cobb",1.61,95.4,0,7,6,12,"Y","Y","Y",1,26.69
"34","13069","GA","Coffee",1.76,60.2,0,0,0,1,"N","N","Y",7,95.06
"35","13071","GA","Colquitt",2.51,70.7,23.3,3,2,2,"Y","Y","Y",6,98.12
"36","13073","GA","Columbia",3.03,90.9,9.4,1,1,2,"Y","Y","Y",2,13.34
"37","13075","GA","Cook",4.6,62.2,0,1,1,0,"Y","Y","N",6,85.1
"38","13077","GA","Coweta",3.7,64.1,12.9,1,1,5,"Y","Y","Y",1,24.27
"39","13079","GA","Crawford",12.5,68.5,0,0,0,2,"N","N","Y",3,68.15
"40","13081","GA","Crisp",0,58.8,0,0,1,1,"N","Y","Y",6,98.57
"41","13083","GA","Dade",3.3,84.3,0,2,0,1,"Y","N","Y",2,51.56
"42","13085","GA","Dawson",27.22,90.9,0,2,0,5,"Y","N","Y",1,10.38
"43","13087","GA","Decatur",1.38,56.2,0,1,0,1,"Y","N","Y",6,94.55
"44","13089","GA","DeKalb",1.6,94.9,14.7,11,7,12,"Y","Y","Y",1,66.11
"45","13091","GA","Dodge",4.57,65,0,0,0,3,"N","N","Y",6,92.23
"46","13093","GA","Dooly",0,64.3,0,0,1,1,"N","Y","Y",6,94.84
"47","13095","GA","Dougherty",1.27,37.8,19.5,1,1,3,"Y","Y","Y",3,95.13
"48","13097","GA","Douglas",6.62,90.5,16.2,7,7,7,"Y","Y","Y",1,54.04
"49","13099","GA","Early",0,32.6,0,0,0,1,"N","N","Y",6,92.01
"50","13101","GA","Echols",0,65.7,0,0,0,0,"N","N","N",3,66.15
"51","13103","GA","Effingham",4.33,84.7,16.1,1,2,0,"Y","Y","N",2,23.63
"52","13105","GA","Elbert",0,67.8,0,0,0,2,"N","N","Y",6,83.38
"53","13107","GA","Emanuel",3.34,64.3,0,0,0,1,"N","N","Y",7,97.68
"54","13109","GA","Evans",7.87,68.7,0,0,0,1,"N","N","Y",6,98.47
"55","13111","GA","Fannin",12.56,83.9,0,0,0,6,"N","N","Y",8,30.03
"56","13113","GA","Fayette",8.17,43.4,6.9,1,6,6,"Y","Y","Y",1,6.08
"57","13115","GA","Floyd",3.18,78,12.8,0,4,3,"N","Y","Y",3,88.54
"58","13117","GA","Forsyth",3.94,94.7,7.1,1,7,9,"Y","Y","Y",1,3.73
"59","13119","GA","Franklin",3.78,75.4,0,0,3,2,"N","Y","Y",8,84.62
"60","13121","GA","Fulton",1.84,92.6,14.6,6,7,15,"Y","Y","Y",1,52.68
"61","13123","GA","Gilmer",4.49,73.6,0,0,1,5,"N","Y","Y",6,55.99
"62","13125","GA","Glascock",0,78.8,0,0,1,1,"N","Y","Y",9,68.6
"63","13127","GA","Glynn",2.75,65.7,9.7,0,1,0,"N","Y","N",3,71.59
